N°,Producto,Marca,Unidad,url,código
301,ESPATULA DE ACERO PUNTA POLICORTADORA,ISOLAB,180 MM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGgmoKau299Mo5QOxKC-s4_XP3f2xoKG1xXA&s,047.08.180
302,ESPATULA DE ACERO PUNTA POLICORTADORA,ISOLAB,210 MM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU4HGSuR232U2xQPKOoXaoqAX_3iIxp6SeNg&s,047.08.210
303,ESPECTROFOTOMETRO VISIBLE,ISOLAB,320-1100 NM,https://isolab.de/Uploads/Product/Medium/622-01-001.jpg?v-638917947490667281,622.01.001
304,ESPECTROFOTOMETRO UV-VISIBLE,ISOLAB,190-1100 NM,https://isolab.de/Uploads/Product/Medium/622-01-001.jpg?v-638917947490667281,622.02.001
305,ESTUFA DE SECADO Y ESTERILIZACION,ISOLAB,55 LITROS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFdbn9zO3R4jyIQtNRaFsMD2Laq5m32ChvlA&s,604.01.055
306,ESTUFA DE SECADO Y ESTERILIZACION,ISOLAB,120 LITROS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFdbn9zO3R4jyIQtNRaFsMD2Laq5m32ChvlA&s,604.01.120
307,EVAPORADOR ROTATIVO (ROTAVAPOR),ISOLAB,10-280 RPM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROqYHFSRXEcQ5Uff5EI9L0_AgaMGW3M4KJcg&s,605.01.001
308,"FILTRO PARA JERINGA NYLON 0,22 um",ISOLAB,25 MM,"https://m.media-amazon.com/images/I/51BMu2iML-L._AC_UF894,1000_QL80_.jpg",106.01.225
309,"FILTRO PARA JERINGA NYLON 0,45 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.01.425
310,"FILTRO PARA JERINGA PVDF 0,22 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.02.225
311,"FILTRO PARA JERINGA PVDF 0,45 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.02.425
312,"FILTRO PARA JERINGA PTFE 0,22 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.03.225
313,"FILTRO PARA JERINGA PTFE 0,45 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.03.425
314,"FILTRO PARA JERINGA PES 0,22 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.04.225
315,"FILTRO PARA JERINGA PES 0,45 um",ISOLAB,25 MM,"https://images-eu.ssl-images-amazon.com/images/I/71tzwtga3cL._AC_UL495_SR435,495_.jpg",106.04.425
316,FRASCO DE VIDRIO BOCA ANCHA AMBAR,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.02.050
317,FRASCO DE VIDRIO BOCA ANCHA AMBAR,ISOLAB,100 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.02.100
318,FRASCO DE VIDRIO BOCA ANCHA AMBAR,ISOLAB,250 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.02.250
319,FRASCO DE VIDRIO BOCA ANCHA AMBAR,ISOLAB,500 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.02.500
320,FRASCO DE VIDRIO BOCA ANCHA AMBAR,ISOLAB,1000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.02.901
321,FRASCO DE VIDRIO BOCA ANCHA TRANSP.,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.01.050
322,FRASCO DE VIDRIO BOCA ANCHA TRANSP.,ISOLAB,100 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.01.100
323,FRASCO DE VIDRIO BOCA ANCHA TRANSP.,ISOLAB,250 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.01.250
324,FRASCO DE VIDRIO BOCA ANCHA TRANSP.,ISOLAB,500 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.01.500
325,FRASCO DE VIDRIO BOCA ANCHA TRANSP.,ISOLAB,1000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR35XMtcbI3AenAbj3P9G_hZLq_NMRaUywxZw&s,061.01.901
326,FRASCO DE VIDRIO GRADUADO T/ROSCA GL45,ISOLAB,100 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGfu3kYwGhRqkSGoSeMFc9pdakM6NNXRHBKw&s,061.01.101
327,FRASCO DE VIDRIO GRADUADO T/ROSCA GL45,ISOLAB,250 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGfu3kYwGhRqkSGoSeMFc9pdakM6NNXRHBKw&s,061.01.251
328,FRASCO DE VIDRIO GRADUADO T/ROSCA GL45,ISOLAB,500 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGfu3kYwGhRqkSGoSeMFc9pdakM6NNXRHBKw&s,061.01.501
329,FRASCO DE VIDRIO GRADUADO T/ROSCA GL45,ISOLAB,1000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGfu3kYwGhRqkSGoSeMFc9pdakM6NNXRHBKw&s,061.01.902
330,FRASCO DE VIDRIO GRADUADO T/ROSCA GL45,ISOLAB,2000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGfu3kYwGhRqkSGoSeMFc9pdakM6NNXRHBKw&s,061.01.903
331,FRASCO VIDRIO GRAD. AMBAR T/ROSCA GL45,ISOLAB,100 ML,https://biomars.pe/wp-content/uploads/2024/07/frasco-de-vidrio-autoclavable-ambar-boro-3-3-x-100ml-isolab-061-02-100-venta-distribuidor-biomars-lima-peru.jpg,061.02.101
332,FRASCO VIDRIO GRAD. AMBAR T/ROSCA GL45,ISOLAB,250 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMSiuoeC_dxDwBvqNqRjW8nK7DW_6GC-EalQ&s,061.02.251
333,FRASCO VIDRIO GRAD. AMBAR T/ROSCA GL45,ISOLAB,500 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMSiuoeC_dxDwBvqNqRjW8nK7DW_6GC-EalQ&s,061.02.501
334,FRASCO VIDRIO GRAD. AMBAR T/ROSCA GL45,ISOLAB,1000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMSiuoeC_dxDwBvqNqRjW8nK7DW_6GC-EalQ&s,061.02.902
335,FRASCO VIDRIO GRAD. AMBAR T/ROSCA GL45,ISOLAB,2000 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMSiuoeC_dxDwBvqNqRjW8nK7DW_6GC-EalQ&s,061.02.903
336,FRASCO GOTERO DE VIDRIO TRANSPARENTE,ISOLAB,50 ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2uXyf575I4v6-TJdA-YTr9fUu-d5l5FyM0g&s,062.01.050
